Symbol,Sector,Industry,MarketCapitalization,PERatio,DividendYield,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta
OC,MANUFACTURING,"ABRASIVE, ASBESTOS & MISC NONMETALLIC MINERAL PRODS",9923748000.0,8.01,0.0194,103.08,0.135,0.176,0.101,0.286,0.376,-0.006,117.36,8.01,8.78,0.903,1.89,1.165,4.667,1.411
TNK,ENERGY & TRANSPORTATION,WATER TRANSPORTATION,1359039000.0,3.338,0.025,37.71,0.321,0.342,0.161,0.399,7.51,1.268,59.12,3.338,3.22,1.333,1.122,1.804,8.72,-0.148
UAN,LIFE SCIENCES,AGRICULTURAL CHEMICALS,890700000.0,3.017,0.386,79.38,0.352,0.398,0.188,0.766,0.097,0.015,9.5,3.017,,1.399,3.449,1.952,4.243,1.429
CIX,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE",229775000.0,10.37,0.054,13.45,0.133,0.158,0.0888,0.131,0.225,-0.021,38.0,10.37,,1.471,1.508,1.14,6.6,0.63
CALM,LIFE SCIENCES,AGRICULTURAL PROD-LIVESTOCK & ANIMAL SPECIALTIES,2357197000.0,3.103,0.107,63.04,0.248,0.319,0.371,0.59,7.19,1.089,61.0,3.103,,1.351,2.395,1.266,6.1,-0.0672
MPLX,ENERGY & TRANSPORTATION,PIPE LINES (NO NATURAL GAS),34290072000.0,8.83,0.0905,11.12,0.363,0.404,0.0791,0.315,0.167,0.02,39.58,8.83,10.46,2.841,2.42,4.975,8.72,1.419
FDP,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,1276317000.0,11.41,0.0301,92.67,0.0252,0.0348,0.0278,0.0613,0.5,-0.007,34.0,11.41,17.92,0.276,0.673,0.429,9.95,0.658
GLOP,ENERGY & TRANSPORTATION,WATER TRANSPORTATION,450512000.0,4.897,0.0047,7.31,0.313,0.522,0.0617,0.125,0.059,0.159,8.73,4.897,,1.102,0.394,3.559,9.72,2.424
RYAAY,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED",22839544000.0,15.79,0.0,44.49,0.135,0.148,0.0646,0.244,3.788,0.573,120.75,15.79,13.85,1.875,2.519,1.663,7.66,1.499
CPA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED",4143823000.0,10.05,0.0311,81.58,0.138,0.184,0.0808,0.311,5.53,0.517,137.64,10.05,9.41,1.235,2.326,1.514,8.18,1.311
PAC,ENERGY & TRANSPORTATION,"AIRPORTS, FLYING FIELDS & AIRPORT TERMINAL SERVICES",9410236000.0,17.31,0.0312,4.043,0.311,0.496,0.145,0.427,0.111,0.387,183.57,17.31,17.06,0.35,9.11,0.348,0.544,0.858
ASR,ENERGY & TRANSPORTATION,"AIRPORTS, FLYING FIELDS & AIRPORT TERMINAL SERVICES",8755840000.0,14.6,0.0269,877.92,0.391,0.569,0.136,0.222,0.145,0.189,301.47,14.6,13.74,0.288,3.718,0.299,0.467,0.775
UAA,MANUFACTURING,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,3130182000.0,9.12,0.0,13.08,0.0655,0.0481,0.0381,0.207,0.154,0.075,10.62,9.12,23.42,0.821,2.607,0.889,9.02,1.621
UA,MANUFACTURING,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,3130182000.0,8.41,0.0,13.08,0.0655,0.0481,0.0381,0.207,0.154,0.075,26.2,8.41,20.45,0.811,2.278,0.889,9.02,1.621
TKR,TECHNOLOGY,BALL & ROLLER BEARINGS,5395614000.0,13.33,0.0177,63.46,0.0888,0.151,0.0775,0.176,0.071,0.123,91.9,13.33,11.09,1.149,2.483,1.531,9.12,1.539
OSG,ENERGY & TRANSPORTATION,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,310839000.0,8.98,0.0,5.46,0.0823,0.169,0.0455,0.114,6.79,0.094,13.0,8.98,,0.53,0.686,1.651,6.6,0.456
CEIX,ENERGY & TRANSPORTATION,BITUMINOUS COAL & LIGNITE MINING,1980790000.0,2.925,0.0765,70.08,0.288,0.353,0.199,0.72,0.633,0.262,79.67,2.925,6.64,1.232,2.605,1.293,3.343,1.854
HCC,ENERGY & TRANSPORTATION,BITUMINOUS COAL & LIGNITE MINING,1817532000.0,2.673,0.0079,35.91,0.365,0.455,0.278,0.522,0.24,0.3,44.0,2.673,5.85,0.991,1.344,0.773,1.419,1.119
ARLP,ENERGY & TRANSPORTATION,BITUMINOUS COAL & LIGNITE SURFACE MINING,2388722000.0,3.378,0.149,20.48,0.28,0.294,0.191,0.499,4.443,0.438,29.33,3.378,3.694,1.252,1.874,1.327,5.68,1.39
NRP,ENERGY & TRANSPORTATION,BITUMINOUS COAL & LIGNITE SURFACE MINING,626044000.0,3.611,0.0605,26.6,0.838,0.747,0.173,0.527,0.106,0.067,96.0,3.611,6.17,1.717,0.952,2.272,2.322,0.267
